FI_range,samples,MAE,RMSE
<0.50,1120,0.003484182869850292,0.005802817378628983
0.50–0.80,691,0.005176602768269113,0.008920535961920065
0.80–0.90,173,0.005466322951191378,0.014874706507816991
0.90–0.95,250,0.0043148300029218776,0.008332037789776493
0.95–1.00,240,0.005431157506531925,0.01066065826886033
1.00–1.05,288,0.005069304623103425,0.007520270711668394
1.05–1.10,252,0.005829803658782404,0.009767218312868841
1.10–1.20,380,0.005441956540070463,0.009164416461454548
1.20–1.50,910,0.006279836616809713,0.01238528817546769
1.50–2.00,470,0.009636195560351307,0.016864508602897784
≥2.00,226,0.011369528038794933,0.018118335826446084
