FI_range,samples,MAE,RMSE,Max_abs_error
<0.50,687,0.003372921026113173,0.006334760262885735,0.07210943869220993
0.50–0.80,407,0.0051821688750283345,0.008383498332103749,0.046836093795848965
0.80–0.90,103,0.004633242139786575,0.006677263685003219,0.0343229033378778
0.90–0.95,151,0.0035562824155957215,0.005258800856031631,0.025571258009993603
0.95–1.00,162,0.0058798580363383585,0.012941556959917378,0.11884045272819255
1.00–1.05,145,0.0035666597222933564,0.005256345197850428,0.02538051337112268
1.05–1.10,150,0.00535888161761702,0.008999344990367088,0.06222019352579178
1.10–1.20,223,0.0052404997742182945,0.007968123573185423,0.0468138629163346
1.20–1.50,573,0.006271306755803777,0.011115697494712654,0.10621331591977379
1.50–2.00,260,0.009192711050211307,0.01726500325048451,0.15740360609104997
≥2.00,139,0.01147855014374576,0.02121402145643979,0.14876701939049575
